date,value
1/1/2002,3264.061
4/1/2002,3363.525
7/1/2002,3401.8
10/1/2002,3463.678
1/1/2003,3342.362
4/1/2003,3432.912
7/1/2003,3501.294
10/1/2003,3602.561
1/1/2004,3486.566
4/1/2004,3578.905
7/1/2004,3617.1
10/1/2004,3723.813
1/1/2005,3605.815
4/1/2005,3703.346
7/1/2005,3768.864
10/1/2005,3834.484
1/1/2006,3737.475
4/1/2006,3841.314
7/1/2006,3836.379
10/1/2006,3923.089
1/1/2007,3792.335
4/1/2007,3897.638
7/1/2007,3922.29
10/1/2007,4013.767
1/1/2008,3900.698
4/1/2008,3923.096
7/1/2008,3896.771
10/1/2008,3884.122
1/1/2009,3697.98
4/1/2009,3775.754
7/1/2009,3815.306
10/1/2009,3919.793
1/1/2010,3769.299
4/1/2010,3888.466
7/1/2010,3930.071
10/1/2010,4010.917
1/1/2011,3860.254
4/1/2011,3945.183
7/1/2011,3969.697
10/1/2011,4065.531
1/1/2012,3976.161
4/1/2012,4032.923
7/1/2012,4066.059
10/1/2012,4121.865
1/1/2013,4005.733
4/1/2013,4089.075
7/1/2013,4153.739
10/1/2013,4246.823
1/1/2014,4071.388
4/1/2014,4191.344
7/1/2014,4283.137
10/1/2014,4366.169
1/1/2015,4206.74
4/1/2015,4349.728
7/1/2015,4396.715
10/1/2015,4450.661
1/1/2016,4277.388
4/1/2016,4415.578
7/1/2016,4460.879
10/1/2016,4535.045
1/1/2017,4338.011
4/1/2017,4515.656
7/1/2017,4576.082
10/1/2017,4678.333
1/1/2018,4491.388
4/1/2018,4651.136
7/1/2018,4707.274
10/1/2018,4788.367
1/1/2019,4611.104
4/1/2019,4760.028
7/1/2019,4794.04