date,steps
07/05/2020 00:00,27
07/05/2020 00:05,12
07/05/2020 00:06,14
07/05/2020 00:10,26
07/05/2020 00:33,12
07/05/2020 07:15,32
07/05/2020 08:57,11
07/05/2020 09:07,15
07/05/2020 09:09,31
07/05/2020 09:11,10
07/05/2020 09:14,31
07/05/2020 09:15,8
07/05/2020 09:16,15
07/05/2020 09:20,22
07/05/2020 09:24,56
07/05/2020 09:25,13
07/05/2020 09:26,89
07/05/2020 09:27,121
07/05/2020 09:28,127
07/05/2020 09:29,122
07/05/2020 09:30,125
07/05/2020 09:31,119
07/05/2020 09:32,126
07/05/2020 09:33,121
07/05/2020 09:34,122
07/05/2020 09:35,109
07/05/2020 09:36,40
07/05/2020 09:37,61
07/05/2020 09:38,54
07/05/2020 09:39,29
07/05/2020 09:40,35
07/05/2020 10:41,99
07/05/2020 10:42,94
07/05/2020 10:43,100
07/05/2020 10:44,102
07/05/2020 10:45,95
07/05/2020 10:46,49
07/05/2020 10:47,103
07/05/2020 10:48,95
07/05/2020 10:49,100
07/05/2020 10:50,105
07/05/2020 10:51,108
07/05/2020 10:52,112
07/05/2020 10:53,116
07/05/2020 10:54,106
07/05/2020 10:55,117
07/05/2020 10:56,114
07/05/2020 10:57,117
07/05/2020 10:58,108
07/05/2020 10:59,114
07/05/2020 11:00,108
07/05/2020 11:01,46
07/05/2020 11:02,6
07/05/2020 11:03,15
07/05/2020 11:06,23
07/05/2020 11:16,29
07/05/2020 11:19,29
07/05/2020 11:34,19
07/05/2020 11:35,5
07/05/2020 11:59,14
07/05/2020 12:08,20
07/05/2020 12:12,15
07/05/2020 12:14,15
07/05/2020 12:58,15
07/05/2020 14:00,12
07/05/2020 14:02,19
07/05/2020 14:03,23
07/05/2020 14:07,14
07/05/2020 14:13,25
07/05/2020 14:20,11
07/05/2020 14:27,22
07/05/2020 14:28,23
07/05/2020 14:29,13
07/05/2020 14:31,15
07/05/2020 14:33,16
07/05/2020 14:34,39
07/05/2020 14:36,10
07/05/2020 14:37,17
07/05/2020 14:38,26
07/05/2020 14:39,68
07/05/2020 14:40,8
07/05/2020 14:41,69
07/05/2020 14:42,29
07/05/2020 14:44,16
07/05/2020 14:45,41
07/05/2020 14:46,10
07/05/2020 14:50,21
07/05/2020 14:53,26
07/05/2020 14:58,13
07/05/2020 14:59,21
07/05/2020 15:03,21
07/05/2020 15:06,13
07/05/2020 15:09,11
07/05/2020 15:10,14
07/05/2020 15:12,42
07/05/2020 15:14,27
07/05/2020 15:18,13
07/05/2020 15:19,12
07/05/2020 15:20,24
07/05/2020 15:21,31
07/05/2020 15:22,13
07/05/2020 15:28,13
07/05/2020 15:54,26
07/05/2020 15:56,24
07/05/2020 16:03,21
07/05/2020 16:06,23
07/05/2020 16:07,44
07/05/2020 16:08,27
07/05/2020 16:10,14
07/05/2020 16:13,10
07/05/2020 16:14,7
07/05/2020 16:22,10
07/05/2020 16:28,66
07/05/2020 16:29,10
07/05/2020 16:30,15
07/05/2020 16:45,18
07/05/2020 16:47,31
07/05/2020 16:48,13
07/05/2020 17:06,10
07/05/2020 17:07,12
07/05/2020 17:36,16
07/05/2020 17:38,10
07/05/2020 17:39,38
07/05/2020 17:55,23
07/05/2020 19:00,13
07/05/2020 20:41,29
07/05/2020 20:44,10
07/05/2020 20:50,31
07/05/2020 21:13,10
07/05/2020 21:31,24
07/05/2020 21:32,39
07/05/2020 21:33,25
07/05/2020 21:35,35
07/05/2020 21:36,8
07/05/2020 21:37,90
07/05/2020 21:38,117
07/05/2020 21:39,112
07/05/2020 21:40,116
07/05/2020 21:41,118
07/05/2020 21:42,113
07/05/2020 21:43,119
07/05/2020 21:44,118
07/05/2020 21:45,117
07/05/2020 21:46,115
07/05/2020 21:47,116
07/05/2020 21:48,116
07/05/2020 21:49,117
07/05/2020 21:50,113
07/05/2020 21:51,115
07/05/2020 21:52,117
07/05/2020 21:53,118
07/05/2020 21:54,113
07/05/2020 21:58,42
07/05/2020 21:59,68
07/05/2020 22:00,116
07/05/2020 22:01,113
07/05/2020 22:02,107
07/05/2020 22:03,108
07/05/2020 22:04,109
07/05/2020 22:05,111
07/05/2020 22:06,116
07/05/2020 22:07,111
07/05/2020 22:08,113
07/05/2020 22:09,102
07/05/2020 22:10,32
07/05/2020 22:11,116
07/05/2020 22:12,118
07/05/2020 22:13,121
07/05/2020 22:14,118
07/05/2020 22:15,115
07/05/2020 22:16,53
07/05/2020 22:17,41
07/05/2020 22:19,25
07/05/2020 22:33,13
07/06/2020 03:27,16
07/06/2020 07:07,22
07/06/2020 07:09,14
07/06/2020 07:10,10
07/06/2020 07:11,22
07/06/2020 07:12,7
07/06/2020 07:14,56
07/06/2020 07:17,12
07/06/2020 07:18,39
07/06/2020 07:19,17
07/06/2020 07:20,12
07/06/2020 07:22,30
07/06/2020 07:23,45
07/06/2020 07:24,109
07/06/2020 07:25,119
07/06/2020 07:26,120
07/06/2020 07:27,121
07/06/2020 07:28,123
07/06/2020 07:29,91
07/06/2020 07:30,123
07/06/2020 07:31,113
07/06/2020 07:32,72
07/06/2020 07:33,25
07/06/2020 07:34,31
07/06/2020 07:35,16
07/06/2020 07:36,37
07/06/2020 07:37,75
07/06/2020 08:25,98
07/06/2020 08:26,100
07/06/2020 08:27,74
07/06/2020 08:28,52
07/06/2020 08:29,102
07/06/2020 08:30,111
07/06/2020 08:31,108
07/06/2020 08:32,110
07/06/2020 08:33,115
07/06/2020 08:34,90
07/06/2020 08:35,111
07/06/2020 08:36,117
07/06/2020 08:37,100
07/06/2020 08:38,120
07/06/2020 08:39,123
07/06/2020 08:40,44
07/06/2020 08:41,104
07/06/2020 08:42,115
07/06/2020 08:43,55
07/06/2020 08:44,26
07/06/2020 08:46,23
07/06/2020 08:47,15
07/06/2020 08:48,18
07/06/2020 08:51,12
07/06/2020 08:53,109
07/06/2020 08:54,114
07/06/2020 08:55,99
07/06/2020 08:56,47
07/06/2020 08:57,23
07/06/2020 08:59,10
07/06/2020 09:00,13
07/06/2020 09:01,12
07/06/2020 09:02,13
07/06/2020 09:42,18
07/06/2020 10:10,27
07/06/2020 10:11,3
07/06/2020 10:27,28
07/06/2020 10:28,18
07/06/2020 10:31,11
07/06/2020 10:32,8
07/06/2020 10:44,17
07/06/2020 10:45,14
07/06/2020 12:26,13
07/06/2020 12:31,21
07/06/2020 12:36,17
07/06/2020 12:37,11
07/06/2020 12:51,26
07/06/2020 12:52,10
07/06/2020 13:56,12
07/06/2020 13:57,6
07/06/2020 14:30,38
07/06/2020 14:36,10
07/06/2020 14:38,34
07/06/2020 14:39,6
07/06/2020 14:40,28
07/06/2020 14:41,52
07/06/2020 14:42,19
07/06/2020 14:53,29
07/06/2020 15:03,17
07/06/2020 15:51,19
07/06/2020 16:12,12
07/06/2020 16:45,16
07/06/2020 16:46,30
07/06/2020 16:48,31
07/06/2020 16:49,36
07/06/2020 16:50,10
07/06/2020 16:51,41
07/06/2020 16:52,13
07/06/2020 16:53,27
07/06/2020 16:54,53
07/06/2020 16:55,104
07/06/2020 17:00,38
07/06/2020 17:01,59
07/06/2020 17:02,117
07/06/2020 17:03,117
07/06/2020 17:05,64
07/06/2020 17:07,29
07/06/2020 17:09,81
07/06/2020 17:10,93
07/06/2020 17:11,111
07/06/2020 17:12,101
07/06/2020 17:13,113
07/06/2020 17:14,80
07/06/2020 17:16,40
07/06/2020 17:17,75
07/06/2020 17:18,70
07/06/2020 17:19,122
07/06/2020 17:20,126
07/06/2020 17:21,113
07/06/2020 17:22,109
07/06/2020 17:23,125
07/06/2020 17:24,86
07/06/2020 17:25,74
07/06/2020 17:26,35
07/06/2020 17:29,10
07/06/2020 17:30,26
07/06/2020 17:31,45
07/06/2020 17:32,19
07/06/2020 17:40,14
07/06/2020 18:08,14
07/06/2020 18:58,32
07/06/2020 19:14,15
07/06/2020 19:24,22
07/06/2020 19:43,35
07/06/2020 19:45,14
07/06/2020 20:24,13
07/06/2020 20:25,14
07/06/2020 20:30,15
07/06/2020 20:45,13
07/06/2020 20:50,15
07/06/2020 20:55,21
07/06/2020 20:59,14
07/06/2020 22:02,24
07/06/2020 22:10,15
07/06/2020 22:12,35
07/06/2020 22:13,19
07/06/2020 22:14,62
07/06/2020 22:15,83
07/06/2020 22:16,51
07/06/2020 22:19,40
07/06/2020 22:20,69
07/06/2020 22:21,16
07/06/2020 22:22,73
07/06/2020 22:23,10
07/06/2020 22:25,76
07/06/2020 22:26,57
07/06/2020 22:27,39
07/06/2020 22:28,73
07/06/2020 22:29,39
07/06/2020 22:30,71
07/06/2020 22:31,94
07/06/2020 22:32,80
07/06/2020 22:33,88
07/06/2020 22:34,82
07/06/2020 22:35,43
07/06/2020 22:36,76
07/06/2020 22:37,95
07/06/2020 22:38,84
07/06/2020 22:39,103
07/06/2020 22:40,76
07/06/2020 22:41,93
07/06/2020 22:42,96
07/06/2020 22:43,101
07/06/2020 22:44,7
07/06/2020 22:45,35
07/06/2020 22:46,24
07/06/2020 22:48,27
07/06/2020 22:50,29
07/06/2020 22:51,19
07/06/2020 22:52,11
07/06/2020 23:02,15
07/06/2020 23:04,12
07/06/2020 23:13,15
07/06/2020 23:21,15
07/07/2020 06:18,14
07/07/2020 06:20,10
07/07/2020 06:22,43
07/07/2020 06:23,18
07/07/2020 06:24,37
07/07/2020 06:25,38
07/07/2020 06:26,19
07/07/2020 06:27,28
07/07/2020 06:28,48
07/07/2020 06:29,87
07/07/2020 06:30,64
07/07/2020 06:31,74
07/07/2020 06:32,99
07/07/2020 06:33,37
07/07/2020 06:34,49
07/07/2020 06:35,48
07/07/2020 06:36,56
07/07/2020 06:37,65
07/07/2020 06:38,44
07/07/2020 06:39,80
07/07/2020 06:40,73
07/07/2020 06:41,34
07/07/2020 06:42,95
07/07/2020 06:43,85
07/07/2020 06:44,99
07/07/2020 06:45,85
07/07/2020 06:46,102
07/07/2020 06:47,78
07/07/2020 06:48,116
07/07/2020 06:49,39
07/07/2020 06:50,59
07/07/2020 06:51,34
07/07/2020 06:52,86
07/07/2020 06:53,56
07/07/2020 06:54,90
07/07/2020 06:55,72
07/07/2020 06:56,64
07/07/2020 06:57,112
07/07/2020 06:58,118
07/07/2020 06:59,112
07/07/2020 07:00,99
07/07/2020 07:01,37
07/07/2020 07:02,33
07/07/2020 07:05,24
07/07/2020 07:06,35
07/07/2020 07:07,38
07/07/2020 07:08,16
07/07/2020 07:53,25
07/07/2020 07:54,30
07/07/2020 07:55,57
07/07/2020 08:00,12
07/07/2020 08:03,30
07/07/2020 08:04,34
07/07/2020 08:05,52
07/07/2020 08:10,13
07/07/2020 08:14,58
07/07/2020 08:15,67
07/07/2020 08:16,13
07/07/2020 08:17,13
07/07/2020 08:19,45
07/07/2020 08:20,11
07/07/2020 08:21,89
07/07/2020 08:22,102
07/07/2020 08:23,114
07/07/2020 08:24,117
07/07/2020 08:25,105
07/07/2020 08:26,113
07/07/2020 08:27,106
07/07/2020 08:28,116
07/07/2020 08:29,100
07/07/2020 08:30,46
07/07/2020 08:31,25
07/07/2020 08:32,10
07/07/2020 08:33,47
07/07/2020 08:34,22
07/07/2020 08:37,21
07/07/2020 08:38,87
07/07/2020 09:24,117
07/07/2020 09:25,60
07/07/2020 09:26,90
07/07/2020 09:27,105
07/07/2020 09:28,113
07/07/2020 09:29,111
07/07/2020 09:30,98
07/07/2020 09:31,106
07/07/2020 09:32,81
07/07/2020 09:33,113
07/07/2020 09:34,114
07/07/2020 09:35,104
07/07/2020 09:36,111
07/07/2020 09:37,115
07/07/2020 09:38,114
07/07/2020 09:39,117
07/07/2020 09:40,112
07/07/2020 09:41,102
07/07/2020 09:42,114
07/07/2020 09:43,118
07/07/2020 09:44,113
07/07/2020 09:45,110
07/07/2020 09:46,116
07/07/2020 09:47,67
07/07/2020 09:48,10
07/07/2020 09:49,13
07/07/2020 09:50,22
07/07/2020 09:51,17
07/07/2020 09:52,57
07/07/2020 09:53,29
07/07/2020 09:56,63
07/07/2020 09:57,112
07/07/2020 09:58,99
07/07/2020 09:59,22
07/07/2020 10:00,26
07/07/2020 10:02,28
07/07/2020 10:03,11
07/07/2020 10:04,54
07/07/2020 10:05,14
07/07/2020 10:23,30
07/07/2020 10:24,19
07/07/2020 10:30,39
07/07/2020 10:31,21
07/07/2020 11:02,11
07/07/2020 11:05,10
07/07/2020 11:06,12
07/07/2020 11:07,10
07/07/2020 11:22,17
07/07/2020 11:30,16
07/07/2020 11:33,14
07/07/2020 11:35,41
07/07/2020 11:38,13
07/07/2020 11:41,22
07/07/2020 11:42,5
07/07/2020 11:48,30
07/07/2020 14:04,14
07/07/2020 14:06,11
07/07/2020 14:07,17
07/07/2020 14:37,37
07/07/2020 14:56,37
07/07/2020 15:14,11
07/07/2020 15:22,20
07/07/2020 15:24,19
07/07/2020 17:21,14
07/07/2020 18:05,10
07/07/2020 18:08,14
07/07/2020 18:10,40
07/07/2020 18:11,15
07/07/2020 18:12,15
07/07/2020 18:13,71
07/07/2020 18:14,65
07/07/2020 18:15,69
07/07/2020 18:16,49
07/07/2020 18:17,79
07/07/2020 18:18,82
07/07/2020 18:19,78
07/07/2020 18:20,103
07/07/2020 18:21,86
07/07/2020 18:22,7
07/07/2020 18:23,78
07/07/2020 18:24,77
07/07/2020 18:25,95
07/07/2020 18:26,111
07/07/2020 18:27,67
07/07/2020 18:28,51
07/07/2020 18:29,81
07/07/2020 18:31,46
07/07/2020 18:32,100
07/07/2020 18:33,11
07/07/2020 18:34,33
07/07/2020 18:50,18
07/07/2020 18:51,11
07/07/2020 19:12,10
07/07/2020 19:13,31
07/07/2020 19:14,40
07/07/2020 19:15,35
07/07/2020 19:16,14
07/07/2020 19:17,13
07/07/2020 19:20,12
07/07/2020 19:37,71
07/07/2020 19:38,126
07/07/2020 19:39,127
07/07/2020 19:40,35
07/07/2020 19:41,48
07/07/2020 19:44,124
07/07/2020 19:46,116
07/07/2020 19:47,126
07/07/2020 19:48,59
07/07/2020 19:49,13
07/07/2020 19:52,10
07/07/2020 20:50,10
07/07/2020 20:51,28
07/07/2020 20:52,14
07/07/2020 20:56,20
07/07/2020 20:59,28
07/07/2020 21:32,12
07/07/2020 21:38,19
07/07/2020 21:41,17
07/07/2020 23:01,91
07/07/2020 23:02,115
07/07/2020 23:03,118
07/07/2020 23:04,60
07/07/2020 23:24,53
07/07/2020 23:25,40
07/07/2020 23:26,40
07/07/2020 23:34,13
07/07/2020 23:36,11
07/08/2020 06:38,48
07/08/2020 06:41,20
07/08/2020 06:42,18
07/08/2020 07:00,13
07/08/2020 07:01,14
07/08/2020 07:04,53
07/08/2020 07:05,16
07/08/2020 07:06,13
07/08/2020 07:08,10
07/08/2020 07:09,23
07/08/2020 07:10,36
07/08/2020 07:11,59
07/08/2020 07:12,108
07/08/2020 07:13,119
07/08/2020 07:14,118
07/08/2020 07:15,122
07/08/2020 07:16,99
07/08/2020 07:17,123
07/08/2020 07:18,105
07/08/2020 07:19,90
07/08/2020 07:20,68
07/08/2020 07:21,62
07/08/2020 07:22,47
07/08/2020 07:23,33
07/08/2020 07:24,44
07/08/2020 07:28,122
07/08/2020 08:14,42
07/08/2020 08:15,77
07/08/2020 08:16,104
07/08/2020 08:17,100
07/08/2020 08:18,104
07/08/2020 08:19,110
07/08/2020 08:20,119
07/08/2020 08:21,108
07/08/2020 08:22,116
07/08/2020 08:23,102
07/08/2020 08:24,90
07/08/2020 08:25,110
07/08/2020 08:26,113
07/08/2020 08:28,55
07/08/2020 08:29,63
07/08/2020 08:30,34
07/08/2020 08:31,19
07/08/2020 08:36,86
07/08/2020 08:37,92
07/08/2020 08:38,110
07/08/2020 08:39,116
07/08/2020 08:40,119
07/08/2020 08:41,117
07/08/2020 08:42,120
07/08/2020 08:43,32
07/08/2020 08:44,116
07/08/2020 08:45,21
07/08/2020 08:50,10
07/08/2020 08:51,2
07/08/2020 08:52,91
07/08/2020 08:53,114
07/08/2020 08:54,113
07/08/2020 08:55,93
07/08/2020 08:56,63
07/08/2020 08:57,53
07/08/2020 08:58,96
07/08/2020 08:59,115
07/08/2020 09:00,118
07/08/2020 09:01,47
07/08/2020 09:02,46
07/08/2020 09:03,12
07/08/2020 09:04,10
07/08/2020 09:05,23
07/08/2020 09:29,15
07/08/2020 09:30,69
07/08/2020 09:31,16
07/08/2020 09:32,13
07/08/2020 09:33,22
07/08/2020 09:41,10
07/08/2020 09:44,13
07/08/2020 09:51,10
07/08/2020 10:00,16
07/08/2020 10:04,12
07/08/2020 10:06,10
07/08/2020 10:07,14
07/08/2020 10:08,11
07/08/2020 10:18,26
07/08/2020 12:59,11
07/08/2020 13:34,33
07/08/2020 13:45,42
07/08/2020 13:46,44
07/08/2020 14:01,26
07/08/2020 14:06,12
07/08/2020 14:11,14
07/08/2020 14:12,17
07/08/2020 14:13,10
07/08/2020 14:15,25
07/08/2020 14:16,16
07/08/2020 14:26,29
07/08/2020 14:28,23
07/08/2020 14:29,13
07/08/2020 15:30,11
07/08/2020 15:42,36
07/08/2020 15:43,2
07/08/2020 15:55,18
07/08/2020 17:05,11
07/08/2020 17:40,18
07/08/2020 17:41,12
07/08/2020 18:18,13
07/08/2020 18:21,14
07/08/2020 18:27,29
07/08/2020 18:28,2
07/08/2020 18:29,61
07/08/2020 18:33,49
07/08/2020 18:35,12
07/08/2020 18:36,36
07/08/2020 18:37,50
07/08/2020 18:46,15
07/08/2020 18:47,22
07/08/2020 18:48,10
07/08/2020 18:49,65
07/08/2020 18:50,62
07/08/2020 18:51,102
07/08/2020 18:52,110
07/08/2020 18:53,109
07/08/2020 18:54,117
07/08/2020 18:55,77
07/08/2020 18:56,80
07/08/2020 18:58,106
07/08/2020 18:59,63
07/08/2020 19:00,35
07/08/2020 19:01,98
07/08/2020 19:02,75
07/08/2020 19:03,106
07/08/2020 19:04,112
07/08/2020 19:05,114
07/08/2020 19:06,117
