country,year,value
Argentina,1961,6486
Argentina,1962,5828
Argentina,1963,11205
Argentina,1964,12519
Argentina,1965,13838
Argentina,1966,18799
Argentina,1967,17400
Argentina,1968,18600
Argentina,1969,21700
Argentina,1970,25800
Argentina,1971,29900
Argentina,1972,30500
Argentina,1973,29900
Argentina,1974,32600
Argentina,1975,38400
Argentina,1976,30900
Argentina,1977,39060
Argentina,1978,23947
Argentina,1979,29062
Argentina,1980,35572
Argentina,1981,22785
Argentina,1982,33015
Argentina,1983,40804
Argentina,1984,41478
Argentina,1985,46500
Argentina,1986,41385
Argentina,1987,45303
Argentina,1988,31806
Argentina,1989,49575
Argentina,1990,50505
Argentina,1991,46075
Argentina,1992,46408
Argentina,1993,54730
Argentina,1994,50993
Argentina,1995,51481
Argentina,1996,47064
Argentina,1997,54125
Argentina,1998,57148
Argentina,1999,55800
Argentina,2000,74256
Argentina,2001,71117
Argentina,2002,70457
Argentina,2003,69866
Argentina,2004,70389
Argentina,2005,67871
Argentina,2006,72129
Argentina,2007,76000
Argentina,2008,80142
Argentina,2009,71715
Argentina,2010,92417
Argentina,2011,92892
Argentina,2012,82813
Argentina,2013,80423
Argentina,2014,82632
Argentina,2015,82492
Argentina,2016,382618
Argentina,2017,366159
Argentina,2018,369613
Argentina,2019,375115
Argentina,2020,335225
Bangladesh,1961,26542
Bangladesh,1962,23387
Bangladesh,1963,24599
Bangladesh,1964,28233
Bangladesh,1965,26592
Bangladesh,1966,28600
Bangladesh,1967,29300
Bangladesh,1968,28500
Bangladesh,1969,30318
Bangladesh,1970,31295
Bangladesh,1971,12007
Bangladesh,1972,24068
Bangladesh,1973,27216
Bangladesh,1974,32169
Bangladesh,1975,29388
Bangladesh,1976,34097
Bangladesh,1977,37022
Bangladesh,1978,38305
Bangladesh,1979,36610
Bangladesh,1980,39708
Bangladesh,1981,38772
Bangladesh,1982,40937
Bangladesh,1983,42202
Bangladesh,1984,37900
Bangladesh,1985,43285
Bangladesh,1986,38000
Bangladesh,1987,37595
Bangladesh,1988,40611
Bangladesh,1989,43581
Bangladesh,1990,39075
Bangladesh,1991,45012
Bangladesh,1992,45632
Bangladesh,1993,48900
Bangladesh,1994,50515
Bangladesh,1995,52000
Bangladesh,1996,47675
Bangladesh,1997,53310
Bangladesh,1998,50575
Bangladesh,1999,56000
Bangladesh,2000,46000
Bangladesh,2001,52000
Bangladesh,2002,58000
Bangladesh,2003,57500
Bangladesh,2004,57580
Bangladesh,2005,57580
Bangladesh,2006,58000
Bangladesh,2007,58500
Bangladesh,2008,59000
Bangladesh,2009,59500
Bangladesh,2010,60000
Bangladesh,2011,60500
Bangladesh,2012,62524
Bangladesh,2013,66259
Bangladesh,2014,63780
Bangladesh,2015,66101
Bangladesh,2016,64500
Bangladesh,2017,81850
Bangladesh,2018,78150
Bangladesh,2019,90685
Bangladesh,2020,89931
China,1961,97064
China,1962,93753
China,1963,105104
China,1964,110306
China,1965,121330
China,1966,127510
China,1967,137403
China,1968,142418
China,1969,148248
China,1970,163468
China,1971,179984
China,1972,196229
China,1973,210639
China,1974,222173
China,1975,237092
China,1976,258258
China,1977,278403
China,1978,293854
China,1979,304155
China,1980,328479
China,1981,368223
China,1982,421051
China,1983,424858
China,1984,438365
China,1985,455540
China,1986,484358
China,1987,534578
China,1988,568973
China,1989,557006
China,1990,562369
China,1991,562961
China,1992,579991
China,1993,620515
China,1994,612953
China,1995,609392
China,1996,616517
China,1997,636871
China,1998,687675
China,1999,696990
China,2000,703673
China,2001,721536
China,2002,765719
China,2003,788815
China,2004,855422
China,2005,953660
China,2006,1047345
China,2007,1183002
China,2008,1274984
China,2009,1375780
China,2010,1467467
China,2011,1640310
China,2012,1804655
China,2013,1939175
China,2014,2110770
China,2015,2291405
China,2016,2326018
China,2017,2473843
China,2018,2625138
China,2019,2791837
China,2020,2984341
India,1961,354397
India,1962,346736
India,1963,346413
India,1964,372486
India,1965,366374
India,1966,375983
India,1967,384759
India,1968,402489
India,1969,393588
India,1970,418517
India,1971,435468
India,1972,455996
India,1973,471952
India,1974,489475
India,1975,487137
India,1976,511817
India,1977,556267
India,1978,563846
India,1979,543776
India,1980,569550
India,1981,559583
India,1982,560732
India,1983,581484
India,1984,639864
India,1985,656162
India,1986,620803
India,1987,620800
India,1988,674300
India,1989,701100
India,1990,688100
India,1991,720300
India,1992,754200
India,1993,703900
India,1994,753000
India,1995,753900
India,1996,756000
India,1997,780000
India,1998,810000
India,1999,874000
India,2000,826000
India,2001,847000
India,2002,854000
India,2003,846000
India,2004,879000
India,2005,907000
India,2006,949000
India,2007,973000
India,2008,987000
India,2009,972700
India,2010,991182
India,2011,1095460
India,2012,1135070
India,2013,1208780
India,2014,1207310
India,2015,1233140
India,2016,1250490
India,2017,1325050
India,2018,1338630
India,2019,1390080
India,2020,1424662
Indonesia,1961,77100
Indonesia,1962,80400
Indonesia,1963,75600
Indonesia,1964,74400
Indonesia,1965,79800
Indonesia,1966,71700
Indonesia,1967,76020
Indonesia,1968,75574
Indonesia,1969,71570
Indonesia,1970,64166
Indonesia,1971,60922
Indonesia,1972,59924
Indonesia,1973,67584
Indonesia,1974,65017
Indonesia,1975,70089
Indonesia,1976,73765
Indonesia,1977,82928
Indonesia,1978,92110
Indonesia,1979,97217
Indonesia,1980,106175
Indonesia,1981,109135
Indonesia,1982,92732
Indonesia,1983,110317
Indonesia,1984,126443
Indonesia,1985,127464
Indonesia,1986,129481
Indonesia,1987,126096
Indonesia,1988,133800
Indonesia,1989,141374
Indonesia,1990,155919
Indonesia,1991,139520
Indonesia,1992,153701
Indonesia,1993,164994
Indonesia,1994,139222
Indonesia,1995,154013
Indonesia,1996,166256
Indonesia,1997,153600
Indonesia,1998,166800
Indonesia,1999,161000
Indonesia,2000,162586
Indonesia,2001,166867
Indonesia,2002,165194
Indonesia,2003,169818
Indonesia,2004,167136
Indonesia,2005,167276
Indonesia,2006,146858
Indonesia,2007,150623
Indonesia,2008,153971
Indonesia,2009,156901
Indonesia,2010,150342
Indonesia,2011,146603
Indonesia,2012,143413
Indonesia,2013,145855
Indonesia,2014,154369
Indonesia,2015,132615
Indonesia,2016,144015
Indonesia,2017,146251
Indonesia,2018,140237
Indonesia,2019,128724
Indonesia,2020,138323
Iran,1961,10922
Iran,1962,11934
Iran,1963,12479
Iran,1964,10450
Iran,1965,12608
Iran,1966,12000
Iran,1967,16000
Iran,1968,20000
Iran,1969,19000
Iran,1970,19500
Iran,1971,16000
Iran,1972,22000
Iran,1973,23000
Iran,1974,24000
Iran,1975,18000
Iran,1976,19800
Iran,1977,26100
Iran,1978,27000
Iran,1979,30600
Iran,1980,32200
Iran,1981,33100
Iran,1982,35265
Iran,1983,36258
Iran,1984,43372
Iran,1985,33120
Iran,1986,40532
Iran,1987,43026
Iran,1988,43268
Iran,1989,27808
Iran,1990,37091
Iran,1991,196651
Iran,1992,245338
Iran,1993,254288
Iran,1994,248228
Iran,1995,242642
Iran,1996,277188
Iran,1997,309342
Iran,1998,270443
Iran,1999,275381
Iran,2000,222653
Iran,2001,228393
Iran,2002,212538
Iran,2003,212168
Iran,2004,134179
Iran,2005,197270
Iran,2006,112803
Iran,2007,162737
Iran,2008,141160
Iran,2009,130714
Iran,2010,121041
Iran,2011,112084
Iran,2012,103890
Iran,2013,97475
Iran,2014,72277
Iran,2015,196957
Iran,2016,121771
Iran,2017,100580
Iran,2018,99245
Iran,2019,90832
Iran,2020,84683
Japan,1961,81527
Japan,1962,77608
Japan,1963,81239
Japan,1964,83427
Japan,1965,77571
Japan,1966,83290
Japan,1967,85284
Japan,1968,85112
Japan,1969,89804
Japan,1970,91398
Japan,1971,93111
Japan,1972,95072
Japan,1973,101181
Japan,1974,95238
Japan,1975,105448
Japan,1976,100097
Japan,1977,102301
Japan,1978,104738
Japan,1979,98000
Japan,1980,102300
Japan,1981,102300
Japan,1982,98500
Japan,1983,102700
Japan,1984,92500
Japan,1985,95500
Japan,1986,93600
Japan,1987,96300
Japan,1988,89800
Japan,1989,90500
Japan,1990,89900
Japan,1991,87800
Japan,1992,92100
Japan,1993,92100
Japan,1994,86300
Japan,1995,84800
Japan,1996,88600
Japan,1997,91200
Japan,1998,82600
Japan,1999,88500
Japan,2000,85000
Japan,2001,85000
Japan,2002,84000
Japan,2003,91900
Japan,2004,100700
Japan,2005,100000
Japan,2006,91800
Japan,2007,94100
Japan,2008,96500
Japan,2009,86000
Japan,2010,85000
Japan,2011,82100
Japan,2012,85900
Japan,2013,84800
Japan,2014,83600
Japan,2015,79500
Japan,2016,80200
Japan,2017,82000
Japan,2018,86300
Japan,2019,81700
Japan,2020,69800
Kenya,1961,12641
Kenya,1962,16428
Kenya,1963,18082
Kenya,1964,20241
Kenya,1965,19823
Kenya,1966,25419
Kenya,1967,22812
Kenya,1968,29764
Kenya,1969,36060
Kenya,1970,41077
Kenya,1971,36290
Kenya,1972,53322
Kenya,1973,56578
Kenya,1974,53440
Kenya,1975,56730
Kenya,1976,61984
Kenya,1977,86291
Kenya,1978,93373
Kenya,1979,99275
Kenya,1980,89893
Kenya,1981,90941
Kenya,1982,95600
Kenya,1983,119300
Kenya,1984,116200
Kenya,1985,147100
Kenya,1986,143317
Kenya,1987,155808
Kenya,1988,164030
Kenya,1989,180602
Kenya,1990,197000
Kenya,1991,203588
Kenya,1992,188070
Kenya,1993,211160
Kenya,1994,209420
Kenya,1995,244530
Kenya,1996,257160
Kenya,1997,220722
Kenya,1998,294165
Kenya,1999,248700
Kenya,2000,236286
Kenya,2001,294620
Kenya,2002,287045
Kenya,2003,293670
Kenya,2004,324600
Kenya,2005,328500
Kenya,2006,310580
Kenya,2007,369600
Kenya,2008,345800
Kenya,2009,314198
Kenya,2010,399006
Kenya,2011,377912
Kenya,2012,369400
Kenya,2013,432400
Kenya,2014,445105
Kenya,2015,399100
Kenya,2016,473000
Kenya,2017,439857
Kenya,2018,492990
Kenya,2019,458850
Kenya,2020,569500
Malawi,1961,14288
Malawi,1962,13336
Malawi,1963,11929
Malawi,1964,12383
Malawi,1965,12973
Malawi,1966,15377
Malawi,1967,16828
Malawi,1968,15830
Malawi,1969,16919
Malawi,1970,18733
Malawi,1971,18597
Malawi,1972,20684
Malawi,1973,23600
Malawi,1974,23405
Malawi,1975,26238
Malawi,1976,28307
Malawi,1977,31628
Malawi,1978,31690
Malawi,1979,32609
Malawi,1980,29915
Malawi,1981,31965
Malawi,1982,38484
Malawi,1983,32011
Malawi,1984,37530
Malawi,1985,39954
Malawi,1986,38973
Malawi,1987,31908
Malawi,1988,40157
Malawi,1989,39469
Malawi,1990,38921
Malawi,1991,40501
Malawi,1992,28136
Malawi,1993,39495
Malawi,1994,35141
Malawi,1995,34182
Malawi,1996,34800
Malawi,1997,29700
Malawi,1998,40362
Malawi,1999,38500
Malawi,2000,42400
Malawi,2001,36800
Malawi,2002,39200
Malawi,2003,41693
Malawi,2004,50090
Malawi,2005,38000
Malawi,2006,45009
Malawi,2007,48140
Malawi,2008,41637
Malawi,2009,52555
Malawi,2010,51589
Malawi,2011,47006
Malawi,2012,42490
Malawi,2013,46460
Malawi,2014,45480
Malawi,2015,47877
Malawi,2016,48887
Malawi,2017,47415
Malawi,2018,48060
Malawi,2019,48121
Malawi,2020,47865
Myanmar,1961,5200
Myanmar,1962,5200
Myanmar,1963,5300
Myanmar,1964,8600
Myanmar,1965,10500
Myanmar,1966,11100
Myanmar,1967,11300
Myanmar,1968,10900
Myanmar,1969,10900
Myanmar,1970,10900
Myanmar,1971,11000
Myanmar,1972,11600
Myanmar,1973,14100
Myanmar,1974,14000
Myanmar,1975,14000
Myanmar,1976,14000
Myanmar,1977,14800
Myanmar,1978,14300
Myanmar,1979,12400
Myanmar,1980,12600
Myanmar,1981,12800
Myanmar,1982,13800
Myanmar,1983,19000
Myanmar,1984,14900
Myanmar,1985,15500
Myanmar,1986,15100
Myanmar,1987,14100
Myanmar,1988,14900
Myanmar,1989,14700
Myanmar,1990,14900
Myanmar,1991,47300
Myanmar,1992,50200
Myanmar,1993,53700
Myanmar,1994,51900
Myanmar,1995,52400
Myanmar,1996,54600
Myanmar,1997,65800
Myanmar,1998,60500
Myanmar,1999,61700
Myanmar,2000,63000
Myanmar,2001,67200
Myanmar,2002,69200
Myanmar,2003,73400
Myanmar,2004,75600
Myanmar,2005,79000
Myanmar,2006,83000
Myanmar,2007,87000
Myanmar,2008,90000
Myanmar,2009,92600
Myanmar,2010,94500
Myanmar,2011,92500
Myanmar,2012,94600
Myanmar,2013,96300
Myanmar,2014,98600
Myanmar,2015,100150
Myanmar,2016,102404
Myanmar,2017,104746
Myanmar,2018,143571
Myanmar,2019,132494
Myanmar,2020,126486
Sri Lanka,1961,206488
Sri Lanka,1962,211850
Sri Lanka,1963,219798
Sri Lanka,1964,218513
Sri Lanka,1965,228236
Sri Lanka,1966,222312
Sri Lanka,1967,220742
Sri Lanka,1968,224803
Sri Lanka,1969,219639
Sri Lanka,1970,212210
Sri Lanka,1971,217773
Sri Lanka,1972,208858
Sri Lanka,1973,211285
Sri Lanka,1974,204037
Sri Lanka,1975,213928
Sri Lanka,1976,196606
Sri Lanka,1977,208572
Sri Lanka,1978,198780
Sri Lanka,1979,208417
Sri Lanka,1980,191375
Sri Lanka,1981,210148
Sri Lanka,1982,187816
Sri Lanka,1983,179287
Sri Lanka,1984,208058
Sri Lanka,1985,214094
Sri Lanka,1986,211276
Sri Lanka,1987,213327
Sri Lanka,1988,226952
Sri Lanka,1989,206987
Sri Lanka,1990,233165
Sri Lanka,1991,240747
Sri Lanka,1992,178870
Sri Lanka,1993,231871
Sri Lanka,1994,242214
Sri Lanka,1995,245961
Sri Lanka,1996,258427
Sri Lanka,1997,276861
Sri Lanka,1998,280056
Sri Lanka,1999,283760
Sri Lanka,2000,305840
Sri Lanka,2001,295090
Sri Lanka,2002,310000
Sri Lanka,2003,303230
Sri Lanka,2004,308090
Sri Lanka,2005,317200
Sri Lanka,2006,310800
Sri Lanka,2007,305220
Sri Lanka,2008,318700
Sri Lanka,2009,290000
Sri Lanka,2010,331400
Sri Lanka,2011,327500
Sri Lanka,2012,330000
Sri Lanka,2013,340230
Sri Lanka,2014,338032
Sri Lanka,2015,317967
Sri Lanka,2016,292574
Sri Lanka,2017,307720
Sri Lanka,2018,303840
Sri Lanka,2019,300120
Sri Lanka,2020,278489
Thailand,1972,50
Thailand,1973,100
Thailand,1974,150
Thailand,1975,150
Thailand,1976,200
Thailand,1977,400
Thailand,1978,600
Thailand,1979,700
Thailand,1980,800
Thailand,1981,1000
Thailand,1982,1500
Thailand,1983,2000
Thailand,1984,2000
Thailand,1985,3000
Thailand,1986,2500
Thailand,1987,3400
Thailand,1988,4959
Thailand,1989,5033
Thailand,1990,6500
Thailand,1991,8500
Thailand,1992,11000
Thailand,1993,13500
Thailand,1994,16000
Thailand,1995,18500
Thailand,1996,22000
Thailand,1997,25000
Thailand,1998,28000
Thailand,1999,30000
Thailand,2000,32327
Thailand,2001,33494
Thailand,2002,36321
Thailand,2003,43333
Thailand,2004,51817
Thailand,2005,51570
Thailand,2006,53782
Thailand,2007,57362
Thailand,2008,61557
Thailand,2009,63707
Thailand,2010,67241
Thailand,2011,73320
Thailand,2012,68774
Thailand,2013,68013
Thailand,2014,40324
Thailand,2015,49054
Thailand,2016,65101
Thailand,2017,78425
Thailand,2018,93084
Thailand,2019,96537
Thailand,2020,97697
Turkey,1961,5450
Turkey,1962,8259
Turkey,1963,10100
Turkey,1964,10035
Turkey,1965,13000
Turkey,1966,23000
Turkey,1967,21786
Turkey,1968,27557
Turkey,1969,34373
Turkey,1970,33431
Turkey,1971,33585
Turkey,1972,46500
Turkey,1973,43202
Turkey,1974,42781
Turkey,1975,55572
Turkey,1976,59547
Turkey,1977,77592
Turkey,1978,86206
Turkey,1979,101955
Turkey,1980,95889
Turkey,1981,42606
Turkey,1982,68038
Turkey,1983,100982
Turkey,1984,113701
Turkey,1985,137116
Turkey,1986,148305
Turkey,1987,140680
Turkey,1988,153160
Turkey,1989,136530
Turkey,1990,122754
Turkey,1991,136887
Turkey,1992,144025
Turkey,1993,117099
Turkey,1994,134350
Turkey,1995,102713
Turkey,1996,114540
Turkey,1997,139523
Turkey,1998,177850
Turkey,1999,199155
Turkey,2000,138770
Turkey,2001,142900
Turkey,2002,135000
Turkey,2003,153800
Turkey,2004,201663
Turkey,2005,217540
Turkey,2006,201866
Turkey,2007,206160
Turkey,2008,198046
Turkey,2009,198601
Turkey,2010,235000
Turkey,2011,221600
Turkey,2012,225000
Turkey,2013,212400
Turkey,2014,226800
Turkey,2015,239028
Turkey,2016,243000
Turkey,2017,234000
Turkey,2018,270000
Turkey,2019,261000
Turkey,2020,255183
Uganda,1961,5100
Uganda,1962,6319
Uganda,1963,6170
Uganda,1964,7615
Uganda,1965,8366
Uganda,1966,11215
Uganda,1967,11242
Uganda,1968,15163
Uganda,1969,17627
Uganda,1970,18200
Uganda,1971,18000
Uganda,1972,23400
Uganda,1973,22000
Uganda,1974,22000
Uganda,1975,18400
Uganda,1976,15400
Uganda,1977,15200
Uganda,1978,10900
Uganda,1979,1800
Uganda,1980,1500
Uganda,1981,1700
Uganda,1982,2580
Uganda,1983,3054
Uganda,1984,5214
Uganda,1985,5758
Uganda,1986,3335
Uganda,1987,3511
Uganda,1988,3512
Uganda,1989,4658
Uganda,1990,6704
Uganda,1991,8877
Uganda,1992,9504
Uganda,1993,12102
Uganda,1994,13462
Uganda,1995,12692
Uganda,1996,17418
Uganda,1997,21075
Uganda,1998,25901
Uganda,1999,24739
Uganda,2000,29236
Uganda,2001,32857
Uganda,2002,39476
Uganda,2003,36895
Uganda,2004,35706
Uganda,2005,37734
Uganda,2006,34334
Uganda,2007,44923
Uganda,2008,42808
Uganda,2009,48663
Uganda,2010,49182
Uganda,2011,35194
Uganda,2012,57939
Uganda,2013,60969
Uganda,2014,65373
Uganda,2015,58588
Uganda,2016,39299
Uganda,2017,50055
Uganda,2018,74247
Uganda,2019,60337
Uganda,2020,63411
Vietnam,1961,7500
Vietnam,1962,7500
Vietnam,1963,8000
Vietnam,1964,9000
Vietnam,1965,10600
Vietnam,1966,12000
Vietnam,1967,9000
Vietnam,1968,13500
Vietnam,1969,14000
Vietnam,1970,14700
Vietnam,1971,15500
Vietnam,1972,15000
Vietnam,1973,15000
Vietnam,1974,17000
Vietnam,1975,18000
Vietnam,1976,17251
Vietnam,1977,18299
Vietnam,1978,20040
Vietnam,1979,20297
Vietnam,1980,21014
Vietnam,1981,21178
Vietnam,1982,25378
Vietnam,1983,24609
Vietnam,1984,27428
Vietnam,1985,28222
Vietnam,1986,30006
Vietnam,1987,28990
Vietnam,1988,29743
Vietnam,1989,30218
Vietnam,1990,32247
Vietnam,1991,33100
Vietnam,1992,36200
Vietnam,1993,37700
Vietnam,1994,42000
Vietnam,1995,40200
Vietnam,1996,46800
Vietnam,1997,52200
Vietnam,1998,56600
Vietnam,1999,70300
Vietnam,2000,69900
Vietnam,2001,75700
Vietnam,2002,94200
Vietnam,2003,104300
Vietnam,2004,119500
Vietnam,2005,132525
Vietnam,2006,151000
Vietnam,2007,164000
Vietnam,2008,173500
Vietnam,2009,185700
Vietnam,2010,198466
Vietnam,2011,206600
Vietnam,2012,211500
Vietnam,2013,217700
Vietnam,2014,228360
Vietnam,2015,236000
Vietnam,2016,240000
Vietnam,2017,260000
Vietnam,2018,270000
Vietnam,2019,234052
Vietnam,2020,240493