state,2008_result,2018_result
Alabama,452.8,519.6
Alaska,652.1,885
Arizona,485.6,474.9
Arkansas,513,543.6
California,504.2,447.4
Colorado,353.9,397.2
Connecticut,306.7,207.4
Delaware,708.6,423.6
District of Columbia,1437.7,995.9
Florida,688.9,384.9
Georgia,488.9,326.6
Hawaii,272.5,248.6
Idaho,241.5,227.1
Illinois,525.4,404.1
Indiana,337.6,382.3
Iowa,288.1,250.1
Kansas,412.3,439
Kentucky,297.2,211.9
Louisiana,671.4,537.5
Maine,119.4,112.1
Maryland,628.2,468.7
Massachusetts,463.8,338.1
Michigan,514.9,449.4
Minnesota,265.4,220.4
Mississippi,304.3,234.4
Missouri,502.4,502.1
Montana,311.4,374.1
Nebraska,312.3,284.8
Nevada,729.7,541.1
New Hampshire,156.1,173.2
New Jersey,326.5,208.1
New Mexico,653.5,856.6
New York,397.9,350.5
North Carolina,467.6,377.6
North Dakota,224.6,280.6
Ohio,352,279.9
Oklahoma,531.5,466.1
Oregon,261.4,285.5
Pennsylvania,410,306
Rhode Island,252.8,219.1
South Carolina,731,488.3
South Dakota,276.9,404.7
Tennessee,722.7,623.7
Texas,508,410.9
Utah,225.3,233.1
Vermont,137.5,172
Virginia,257.8,200
Washington,334.2,311.5
West Virginia,275.9,289.9
Wisconsin,275.5,295.4
Wyoming,249.7,212.2