Date,Price,Open,High,Low,Change
10/31/2022,20496.30,20626.00,20822.40,20260.00,-0.63
10/30/2022,20626.30,20809.40,20922.30,20522.50,-0.88
10/29/2022,20809.80,20594.20,21038.10,20561.90,1.05
10/28/2022,20594.40,20293.00,20744.00,20058.20,1.49
10/27/2022,20292.90,20769.50,20867.90,20231.60,-2.29
10/26/2022,20769.50,20086.80,20981.50,20062.90,3.42
10/25/2022,20082.70,19331.80,20406.90,19249.00,3.89
10/24/2022,19331.50,19571.20,19588.60,19177.20,-1.22
10/23/2022,19571.20,19204.80,19680.90,19092.50,1.91
10/22/2022,19204.80,19162.60,19249.90,19116.10,0.22
10/21/2022,19162.60,19042.90,19245.50,18703.30,0.63
10/20/2022,19042.90,19125.10,19334.50,18935.60,-0.42
10/19/2022,19123.90,19328.20,19358.60,19101.20,-1.06
10/18/2022,19328.20,19548.40,19692.90,19102.80,-1.13
10/17/2022,19548.20,19262.20,19663.50,19163.60,1.49
10/16/2022,19261.90,19068.80,19411.90,19066.00,1.01
10/15/2022,19068.70,19181.70,19218.70,19000.80,-0.59
10/14/2022,19181.80,19379.80,19933.90,19098.60,-1.02
10/13/2022,19379.80,19154.60,19494.40,18207.90,1.17
10/12/2022,19154.80,19058.50,19212.60,19010.60,0.5
10/11/2022,19059.10,19134.30,19261.30,18868.70,-0.39
10/10/2022,19134.60,19441.70,19520.70,19057.00,-1.58
10/9/2022,19441.00,19416.30,19552.10,19329.60,0.13
10/8/2022,19415.00,19530.20,19612.20,19274.70,-0.6
10/7/2022,19531.30,19962.40,20051.40,19352.10,-2.13
10/6/2022,19956.70,20157.50,20436.70,19873.70,-1
10/5/2022,20157.50,20340.50,20353.80,19761.70,-0.9
10/4/2022,20340.20,19629.70,20436.10,19506.40,3.63
10/3/2022,19628.30,19057.60,19676.00,19001.30,3.02
10/2/2022,19052.20,19311.90,19389.90,18937.30,-1.34
10/1/2022,19311.90,19422.90,19480.30,19172.60,-0.57
9/30/2022,19423.00,19593.40,20174.90,19208.90,-0.87
9/29/2022,19593.00,19420.20,19631.50,18877.90,0.94
9/28/2022,19411.00,19083.40,19757.80,18505.30,1.73
9/27/2022,19081.00,19228.80,20361.20,18850.40,-0.75
9/26/2022,19225.70,18803.10,19304.80,18695.20,2.25
9/25/2022,18803.20,18925.10,19125.10,18659.60,-0.64
9/24/2022,18925.20,19288.40,19310.60,18812.00,-1.91
9/23/2022,19293.50,19404.10,19477.30,18554.80,-0.57
9/22/2022,19404.00,18488.10,19490.90,18371.00,4.95
9/21/2022,18489.00,18875.10,19758.40,18191.80,-2.03
9/20/2022,18872.40,19538.90,19626.30,18742.60,-3.41
9/19/2022,19538.90,19417.40,19666.60,18277.80,0.62
9/18/2022,19418.80,20113.90,20113.90,19347.70,-3.45
9/17/2022,20113.50,19802.80,20178.60,19761.00,1.57
9/16/2022,19802.40,19701.90,19883.00,19352.90,0.51
9/15/2022,19701.70,20222.30,20321.40,19532.30,-2.58
9/14/2022,20222.50,20175.50,20503.70,19654.20,0.23
9/13/2022,20175.50,22395.30,22702.50,19909.60,-9.91
9/12/2022,22395.30,21836.60,22465.40,21581.60,2.57
9/11/2022,21834.90,21650.40,21836.40,21363.00,0.85
9/10/2022,21650.40,21363.80,21790.60,21139.90,1.33
9/9/2022,21365.20,19318.80,21545.70,19294.10,10.6
9/8/2022,19317.40,19281.50,19444.70,19034.50,0.19
9/7/2022,19281.50,18786.30,19445.90,18548.40,2.64
9/6/2022,18786.40,19793.40,20169.30,18723.30,-5.09
9/5/2022,19793.10,19999.90,20042.90,19650.70,-1.03
9/4/2022,19999.90,19832.20,20017.80,19594.70,0.85
9/3/2022,19831.40,19952.80,20043.80,19660.70,-0.61
9/2/2022,19952.70,20131.60,20428.20,19764.70,-0.86
9/1/2022,20126.10,20049.90,20202.70,19584.40,0.41
8/31/2022,20043.90,19793.40,20469.10,19793.40,1.27
8/30/2022,19792.60,20295.60,20558.20,19559.70,-2.48
8/29/2022,20295.80,19551.30,20394.50,19551.20,3.81
8/28/2022,19550.20,20034.20,20150.80,19542.90,-2.41
8/27/2022,20033.90,20249.90,20343.60,19849.80,-1.07
8/26/2022,20249.90,21564.20,21815.30,20122.40,-6.1
8/25/2022,21565.40,21365.40,21801.20,21324.80,0.94
8/24/2022,21365.20,21516.20,21832.30,21171.10,-0.71
8/23/2022,21517.20,21416.50,21661.00,20919.60,0.47
8/22/2022,21416.30,21516.80,21517.40,20912.10,-0.47
8/21/2022,21517.20,21138.90,21692.40,21077.40,1.79
8/20/2022,21138.90,20830.70,21357.40,20784.80,1.48
8/19/2022,20831.30,23201.60,23202.30,20807.80,-10.22
8/18/2022,23203.60,23337.70,23578.00,23131.30,-0.58
8/17/2022,23338.00,23855.80,24423.50,23191.60,-2.17
8/16/2022,23856.80,24102.60,24240.80,23693.80,-1.02
8/15/2022,24101.70,24303.30,25205.70,23784.50,-0.83
8/14/2022,24302.80,24442.10,24997.30,24172.20,-0.57
8/13/2022,24442.50,24398.90,24882.90,24318.70,0.18
8/12/2022,24398.70,23935.30,24440.80,23616.40,1.94
8/11/2022,23935.30,23963.30,24873.50,23864.00,-0.12
8/10/2022,23962.90,23150.30,24209.90,22714.70,3.53
8/9/2022,23146.70,23818.10,23912.00,22886.50,-2.81
8/8/2022,23816.30,23175.30,24234.10,23160.60,2.77
8/7/2022,23175.30,22944.20,23387.70,22852.30,1.01
8/6/2022,22944.20,23308.20,23344.40,22923.60,-1.56
8/5/2022,23308.20,22613.30,23447.60,22593.50,3.08
8/4/2022,22612.10,22822.20,23214.50,22438.70,-0.91
8/3/2022,22820.80,22988.70,23623.70,22698.60,-0.73
8/2/2022,22988.60,23271.10,23423.30,22670.80,-1.21
8/1/2022,23271.20,23303.40,23484.40,22863.80,-0.14