company,year,role,men,women,other,asian,black,hispanic,indigenous,multiracial,white,employees_number
apple,2020,overall,66,34,0,27,9,14,1,3,47,147000
apple,2020,tech,76,24,0,39,6,8,1,2,44,147000
apple,2020,non-tech,58,42,0,13,12,21,1,4,49,147000
apple,2020,leadership,69,31,0,27,4,8,0,2,59,147000
apple,2019,overall,67,33,0,24,9,14,1,3,48,137000
apple,2019,tech,76,24,0,36,6,8,1,2,47,137000
apple,2019,non-tech,59,41,0,13,12,20,1,4,50,137000
apple,2019,leadership,70,30,0,25,4,8,0,1,62,137000
apple,2018,overall,67,33,0,23,9,14,1,3,50,132000
apple,2018,tech,77,23,0,35,6,8,1,2,49,132000
apple,2018,non-tech,59,41,0,12,12,20,1,4,51,132000
apple,2018,leadership,71,29,0,26,3,7,0,1,63,132000
apple,2017,overall,68,32,0,21,9,13,1,3,54,123000
apple,2017,tech,77,23,0,31,7,8,1,2,52,123000
apple,2017,non-tech,61,39,0,12,11,17,1,3,56,123000
apple,2017,leadership,71,29,0,23,3,7,0,1,66,123000
facebook,2020,overall,63.00,37.00,0,44.4,3.9,6.3,0.4,4,41,58604
facebook,2020,tech,75.90,24.10,0,53.4,1.7,4.3,0.2,3.2,37.2,58604
facebook,2020,non-tech,41.50,58.50,0,24.5,8.9,10.7,0.7,5.8,49.4,58604
facebook,2020,leadership,65.80,34.20,0,25.4,3.4,4.3,0.3,3.4,63.2,58604
facebook,2019,overall,63.10,36.90,0,43,3.8,5.2,0.7,3.1,44.2,44942
facebook,2019,tech,77.00,23.00,0,52.3,1.5,3.5,0.4,2.3,40,44942
facebook,2019,non-tech,42.80,57.20,0,24.7,8.2,8.8,1.2,4.6,52.5,44942
facebook,2019,leadership,67.40,32.60,0,24.9,3.1,3.5,0.3,2.9,65.4,44942
facebook,2018,overall,63.70,36.30,0,41.4,3.5,4.9,0.6,3,46.6,35587
facebook,2018,tech,78.40,21.60,0,50.3,1.3,3.1,0.4,2.2,42.7,35587
facebook,2018,non-tech,43.00,57.00,0,24.5,7.6,8.4,1.2,4.5,53.9,35587
facebook,2018,leadership,70.00,30.00,0,21.6,2.4,3.3,0.5,2.4,69.7,35587
facebook,2017,overall,65.00,35.00,0,40,3,5,1,3,49,25105
facebook,2017,tech,81.00,19.00,0,49,1,3,1,2,45,25105
facebook,2017,non-tech,45.00,55.00,0,25,6,8,1,4,57,25105
facebook,2017,leadership,72.00,28.00,0,21,3,3,1,2,71,25105
google,2020,overall,68.00,32.00,0,41.9,3.7,5.9,0.8,0,51.7,135301
google,2020,tech,76.40,23.60,0,47.6,2.4,4.8,0.7,0,48.1,135301
google,2020,non-tech,52.60,47.40,0,26.6,7.2,9.1,1.2,0,61.5,135301
google,2020,leadership,73.30,26.70,0,29.6,2.6,3.7,0.5,0,65.9,135301
google,2019,overall,68.40,31.60,0,39.8,3.3,5.7,0.8,0,54.4,118899
google,2019,tech,77.10,22.90,0,45.1,2.1,4.5,0.7,0,51.1,118899
google,2019,non-tech,52.10,47.90,0,25.4,6.6,8.9,1.2,0,63.3,118899
google,2019,leadership,73.90,26.10,0,28.9,2.6,3.3,0.7,0,66.6,118899
google,2018,overall,69.10,30.90,0,38.1,3,5.3,0.8,0,56.6,98771
google,2018,tech,78.60,21.40,0,42.8,1.9,4.3,0.6,0,53.6,98771
google,2018,non-tech,52.20,47.80,0,25,5.8,8.4,1.1,0,64.7,98771
google,2018,leadership,74.50,25.50,0,27.3,2.4,2.7,0.8,0,68.9,98771
google,2017,overall,69.20,30.80,0,36.3,2.8,5.3,0.8,0,58.5,80110
google,2017,tech,79.80,20.20,0,40.6,1.8,4.2,0.6,0,56.1,80110
google,2017,non-tech,51.60,48.40,0,25.1,5.5,7.9,1.2,0,65.3,80110
google,2017,leadership,75.50,24.50,0,27.1,2,2.4,0.8,0,69.6,80110
twitter,2020,overall,56.60,42.70,0.7,28.4,6.9,5.5,0.4,4.1,41.2,5500
twitter,2020,tech,72.30,26.5,1.2,35.6,5.8,4.7,0.3,3.6,34.6,5500
twitter,2020,leadership,62.10,37.90,0,18.3,7,3.8,0.3,2.3,55.8,5500
twitter,2019,overall,57.10,42.30,0.6,27.5,5.8,4.9,0.4,3.6,41.4,4900
twitter,2019,tech,75.00,23.80,1.2,35.1,4.2,3.8,0.4,2.8,35,4900
twitter,2019,leadership,64.40,35.60,0,16.6,5,4.4,0,2.8,57.4,4900
twitter,2018,overall,59.20,40.20,0.6,26.1,4.6,4,0.4,2.9,42.7,3920
twitter,2018,tech,78.80,20.20,1,33.9,3.1,3.3,0.4,2.4,35.3,3920
twitter,2018,leadership,64.30,35.70,0,16.7,4.7,3.1,0,1.9,57,3920
twitter,2017,overall,61.20,38.10,0.7,25.7,3.6,3.7,0.3,2.7,44.3,3372
twitter,2017,tech,81.50,17.50,1,32,2.4,2.4,0.4,2.9,37.9,3372
twitter,2017,leadership,67.50,32.50,0,15.4,3.5,3.1,0,1.8,56.6,3372
microsoft,2020,overall,71.3,28.6,0.1,34.7,4.9,6.6,0.7,2.3,50.2,181000
microsoft,2020,tech,77.1,22.8,0.1,41.8,3.6,5.3,0.6,2.2,45.8,181000
microsoft,2020,non-tech,59.5,40.4,0.1,16.5,8.1,9.9,0.8,2.6,61.8,181000
microsoft,2020,leadership,78.9,21.1,0,29.8,2.6,4.8,0.5,1.4,60.3,181000
microsoft,2019,overall,72.3,27.6,0.1,33.1,4.5,6.3,0.7,2.1,53.2,163000
microsoft,2019,tech,78.6,21.4,0,40.1,3.3,4.9,0.7,2,49,163000
microsoft,2019,non-tech,60.5,39.4,0.1,16.6,7.5,9.6,0.8,2.3,63.1,163000
microsoft,2019,leadership,79.5,20.5,0,27.8,2.5,4.7,0.4,1.2,63.2,163000
microsoft,2018,overall,73.4,26.6,0,31.9,4.1,6,0.7,1.8,55.1,144000
microsoft,2018,tech,80,19.9,0.1,39.2,2.8,4.5,0.8,1.8,50.9,144000
microsoft,2018,non-tech,61.7,38.2,0.1,15.9,7.1,9.1,0.8,2,64.2,144000
microsoft,2018,leadership,80.1,19.9,0,26.1,2.4,4.4,0.4,1,65.6,144000
microsoft,2017,overall,74.4,25.5,0.1,31,3.9,5.8,0.7,1.6,56.9,131000
microsoft,2017,tech,81.6,18.4,0,37.7,2.6,4.2,0.8,1.5,53.1,131000
microsoft,2017,non-tech,61.7,38.2,0.1,15.7,6.9,9.3,0.8,1.7,65.3,131000
microsoft,2017,leadership,80.9,19.1,0,24.7,2.3,4.2,0.4,0.9,67.4,131000