country,year,fertility_rate,life_expectancy,population
Afghanistan,1990,7.466,50.331,12412311
Albania,1990,2.978,71.836,3286542
Algeria,1990,4.726,66.938,25758872
Angola,1990,7.272,45.306,11848385
Antigua and Barbuda,1990,2.067,71.52,62533
Argentina,1990,2.997,71.594,32618648
Armenia,1990,2.544,67.879,3538164
Aruba,1990,2.249,73.468,62152
Australia,1990,1.902,76.99463415,17065100
Austria,1990,1.46,75.56829268,7677850
Azerbaijan,1990,2.74,64.827,7175200
"Bahamas, The",1990,2.64,70.199,256227
Bahrain,1990,3.732,72.39,495927
Bangladesh,1990,4.495,58.21,103171957
Barbados,1990,1.74,74.704,260933
Belarus,1990,1.913,70.83658537,10189348
Belgium,1990,1.62,76.05195122,9967379
Belize,1990,4.508,71.242,187554
Benin,1990,6.744,53.812,4978489
Bhutan,1990,5.493,52.878,59326
Bolivia,1990,4.89,56.099,6864839
Bosnia and Herzegovina,1990,1.772,70.877,4463422
Botswana,1990,4.485,59.191,1286756
Brazil,1990,2.902,66.343,149003225
Brunei Darussalam,1990,3.29,70.185,258714
Bulgaria,1990,1.82,71.64146341,8718289
Burkina Faso,1990,7.007,49.454,8811033
Burundi,1990,7.405,47.829,5438959
Cabo Verde,1990,5.392,64.676,337953
Cambodia,1990,5.601,53.595,8975597
Cameroon,1990,6.436,53.362,11780086
Canada,1990,1.83,77.42195122,27691138
Central African Republic,1990,5.811,49.104,2806740
Chad,1990,7.313,47.019,5963250
Channel Islands,1990,1.483,75.41,140677
Chile,1990,2.579,73.509,13274617
China,1990,2.309,69.145,1135185000
Colombia,1990,3.082,69.75,33102569
Comoros,1990,6.412,56.677,411598
"Congo, Dem. Rep.",1990,6.746,49.043,34612023
"Congo, Rep.",1990,5.119,54.638,2356740
Costa Rica,1990,3.264,75.654,3119436
Cote d'Ivoire,1990,6.622,53.254,11924873
Croatia,1990,1.63,72.1704878,4777368
Cuba,1990,1.714,74.638,10596986
Cyprus,1990,2.411,76.554,766616
Czech Republic,1990,1.9,71.38390244,10333355
Denmark,1990,1.67,74.80536585,5140939
Djibouti,1990,6.073,56.678,590393
Dominican Republic,1990,3.411,66.574,7133491
Ecuador,1990,3.744,68.899,10230931
"Egypt, Arab Rep.",1990,4.58,64.572,56134478
El Salvador,1990,3.964,64,5270074
Equatorial Guinea,1990,5.987,48.775,419188
Eritrea,1990,6.496,49.588,2258649
Estonia,1990,2.05,69.47560976,1569174
Eswatini,1990,5.106,61.95,822423
Ethiopia,1990,7.246,47.099,47887864
Faroe Islands,1990,2.8,76.11463415,47276
Fiji,1990,3.398,65.379,728575
Finland,1990,1.78,74.81317073,4986431
France,1990,1.77,76.6,58235716
French Polynesia,1990,3.401,68.704,199906
Gabon,1990,5.442,60.965,949493
"Gambia, The",1990,6.096,52.221,955595
Georgia,1990,2.18,70.386,4802000
Germany,1990,1.45,75.2277561,79433029
Ghana,1990,5.602,56.776,14773274
Greece,1990,1.39,76.93902439,10196792
Grenada,1990,3.842,69.598,96328
Guam,1990,3.013,71.925,130480
Guatemala,1990,5.437,62.261,9050115
Guinea,1990,6.598,49.987,6352282
Guinea-Bissau,1990,6.627,47.095,975265
Guyana,1990,3.069,63.287,743306
Haiti,1990,5.43,54.265,7037915
Honduras,1990,5.123,66.723,4955302
"Hong Kong SAR, China",1990,1.272,77.3804878,5704500
Hungary,1990,1.87,69.31560976,10373988
Iceland,1990,2.3,78.03634146,254826
India,1990,4.045,57.865,873277799
Indonesia,1990,3.122,62.32,181413398
"Iran, Islamic Rep.",1990,4.691,63.837,56366212
Iraq,1990,5.882,66.011,17419113
Ireland,1990,2.11,74.80909756,3513974
Israel,1990,2.824,76.60731707,4660000
Italy,1990,1.33,76.97073171,56719240
Jamaica,1990,2.947,73.204,2419901
Japan,1990,1.54,78.83682927,123478000
Jordan,1990,5.521,69.872,3565888
Kazakhstan,1990,2.72,68.33658537,16348000
Kenya,1990,6.066,57.406,23724574
Kiribati,1990,4.688,59.636,72394
"Korea, Dem. People’s Rep.",1990,2.289,69.896,20293057
"Korea, Rep.",1990,1.57,71.59756098,42869283
Kosovo,1990,3.9,67.74878049,1862000
Kuwait,1990,2.967,72.15,2095350
Kyrgyz Republic,1990,3.63,68.29756098,4391200
Lao PDR,1990,6.151,53.364,4258471
Latvia,1990,2.02,69.27317073,2663151
Lebanon,1990,3.372,70.266,2803032
Lesotho,1990,4.721,59.837,1703757
Liberia,1990,6.499,46.046,2075917
Libya,1990,4.966,68.503,4436663
Lithuania,1990,2.03,71.16073171,3697838
Luxembourg,1990,1.6,75.01041463,381850
"Macao SAR, China",1990,1.722,77.296,343816
Madagascar,1990,6.179,51.003,11598647
Malawi,1990,6.872,46.096,9404499
Malaysia,1990,3.554,70.865,18029824
Maldives,1990,6.003,61.529,223159
Mali,1990,7.165,45.746,8449915
Malta,1990,2.02,76.78607317,354170
Mauritania,1990,5.881,59.688,47265
Mauritius,1990,2.32,69.40487805,1058775
Mexico,1990,3.47,70.866,83943135
"Micronesia, Fed. Sts.",1990,4.958,63.605,96304
Moldova,1990,2.414,67.643,2969097
Mongolia,1990,4.052,60.268,2184139
Montenegro,1990,2.078,74.627,606372
Morocco,1990,4.047,64.732,24807461
Mozambique,1990,6.211,45.261,12987292
Myanmar,1990,3.447,56.849,41335188
Namibia,1990,5.219,61.608,1432899
Nepal,1990,5.172,54.404,18905480
Netherlands,1990,1.62,76.87804878,14951510
New Caledonia,1990,3.18,70.48536585,170899
New Zealand,1990,2.18,75.37804878,3329800
Nicaragua,1990,4.596,64.293,4173435
Niger,1990,7.772,43.538,8026592
Nigeria,1990,6.49,45.9,95212454
North Macedonia,1990,2.206,71.152,1996218
Norway,1990,1.93,76.53731707,4241473
Oman,1990,7.165,67.18,1812158
Pakistan,1990,6.164,60.1,107647918
Panama,1990,3.057,72.982,2470946
Papua New Guinea,1990,4.802,56.492,4615843
Paraguay,1990,4.547,68.545,4223413
Peru,1990,3.912,66.165,22071433
Philippines,1990,4.32,66.366,61895169
Poland,1990,2.06,70.8902439,38110782
Portugal,1990,1.56,73.96585366,9983218
Puerto Rico,1990,2.219,74.16917073,3537000
Qatar,1990,4.013,75.824,476275
Romania,1990,1.83,69.74121951,23201835
Russian Federation,1990,1.892,68.88609756,147969407
Rwanda,1990,7.184,33.413,7288883
Samoa,1990,5.118,66.281,162797
Sao Tome and Principe,1990,5.828,58.247,119211
Saudi Arabia,1990,5.911,69.078,16233786
Senegal,1990,6.448,57.202,7526306
Sierra Leone,1990,6.721,38.563,4319763
Singapore,1990,1.83,75.29512195,3047132
Slovak Republic,1990,2.09,70.93268293,5299187
Slovenia,1990,1.46,73.20487805,1998161
Solomon Islands,1990,5.851,64.365,311869
Somalia,1990,7.398,45.378,7225089
South Africa,1990,3.964,63.307,36800507
South Sudan,1990,6.761,43.524,5492620
Spain,1990,1.36,76.83756098,38867322
Sri Lanka,1990,2.483,69.509,17325769
St. Lucia,1990,3.399,71.074,138019
St. Martin (French part),1990,2.12,74.52195122,31522
St. Vincent and the Grenadines,1990,2.956,70.58,107489
Sudan,1990,6.152,55.5,20147592
Suriname,1990,3.267,67.436,405169
Sweden,1990,2.13,77.53682927,8558835
Switzerland,1990,1.58,77.24243902,6715519
Syrian Arab Republic,1990,5.309,70.553,12446168
Tajikistan,1990,5.225,58.824,5283811
Tanzania,1990,6.213,50.206,25203848
Thailand,1990,2.113,70.248,56558196
Timor-Leste,1990,5.478,48.492,737814
Togo,1990,6.185,55.887,3774310
Tonga,1990,4.644,68.935,95069
Trinidad and Tobago,1990,2.453,68.086,1221121
Tunisia,1990,3.476,68.792,8242509
Turkey,1990,3.107,64.256,53921758
Turkmenistan,1990,4.344,62.81,3683978
Uganda,1990,7.091,45.853,17354395
Ukraine,1990,1.844,70.09756098,51891400
United Arab Emirates,1990,4.454,71.939,1828437
United Kingdom,1990,1.83,75.8804878,57247586
United States,1990,2.081,75.21463415,249623000
Uruguay,1990,2.52,72.569,3109598
Uzbekistan,1990,4.072,66.481,20510000
Vanuatu,1990,4.926,64.721,146575
"Venezuela, RB",1990,3.448,70.658,19632665
Vietnam,1990,3.553,70.551,67988855
Virgin Islands (U.S.),1990,2.954,74.23585366,103963
West Bank and Gaza,1990,6.718,68.048,1978248
"Yemen, Rep.",1990,8.606,57.346,11709987
Zambia,1990,6.442,49.249,8036849
Zimbabwe,1990,4.862,58.1,10432409
Afghanistan,2018,4.473,64.486,37171922
Albania,2018,1.617,78.458,2866376
Algeria,2018,3.023,76.693,42228415
Angola,2018,5.519,60.782,30809787
Antigua and Barbuda,2018,1.994,76.885,96282
Argentina,2018,2.261,76.52,44494502
Armenia,2018,1.755,74.945,2951741
Aruba,2018,1.896,76.152,105846
Australia,2018,1.74,82.74878049,24982688
Austria,2018,1.47,81.69268293,8840521
Azerbaijan,2018,1.73,72.864,9939771
"Bahamas, The",2018,1.752,73.752,385635
Bahrain,2018,1.987,77.163,1569440
Bangladesh,2018,2.036,72.32,161376713
Barbados,2018,1.619,79.081,286640
Belarus,2018,1.448,74.17560976,9438785
Belgium,2018,1.62,81.59512195,11427054
Belize,2018,2.307,74.496,383071
Benin,2018,4.836,61.47,11485035
Bhutan,2018,1.975,71.46,63918
Bolivia,2018,2.73,71.239,11353140
Bosnia and Herzegovina,2018,1.265,77.262,3323929
Botswana,2018,2.874,69.275,2254067
Brazil,2018,1.73,75.672,209469320
Brunei Darussalam,2018,1.848,75.722,428960
Bulgaria,2018,1.56,74.96341463,7025037
Burkina Faso,2018,5.189,61.174,19751466
Burundi,2018,5.41,61.247,11175379
Cabo Verde,2018,2.274,72.782,543764
Cambodia,2018,2.503,69.57,16249795
Cameroon,2018,4.572,58.921,25216261
Canada,2018,1.4988,81.94878049,37065084
Central African Republic,2018,4.721,52.805,4666375
Chad,2018,5.747,53.977,15477727
Channel Islands,2018,1.51,82.928,170496
Chile,2018,1.649,80.042,18729166
China,2018,1.69,76.704,1402760000
Colombia,2018,1.807,77.109,49661056
Comoros,2018,4.205,64.118,832322
"Congo, Dem. Rep.",2018,5.919,60.368,84068092
"Congo, Rep.",2018,4.428,64.29,5244363
Costa Rica,2018,1.754,80.095,4999443
Cote d'Ivoire,2018,4.649,57.422,25069226
Croatia,2018,1.47,78.07073171,4087843
Cuba,2018,1.618,78.726,11338146
Cyprus,2018,1.329,80.828,1189262
Czech Republic,2018,1.71,79.02926829,10629928
Denmark,2018,1.73,80.95365854,5793636
Djibouti,2018,2.728,66.582,958923
Dominican Republic,2018,2.346,73.892,10627147
Ecuador,2018,2.427,76.8,17084359
"Egypt, Arab Rep.",2018,3.326,71.825,98423602
El Salvador,2018,2.039,73.096,6420740
Equatorial Guinea,2018,4.513,58.402,1308966
Eritrea,2018,4.056,65.941,3452786
Estonia,2018,1.67,78.24390244,1321977
Eswatini,2018,2.99,59.401,1136274
Ethiopia,2018,4.247,66.24,109224410
Faroe Islands,2018,2.5,82.54878049,48497
Fiji,2018,2.774,67.341,883490
Finland,2018,1.41,81.73414634,5515525
France,2018,1.88,82.72439024,67101930
French Polynesia,2018,1.941,77.462,277673
Gabon,2018,3.969,66.187,2119275
"Gambia, The",2018,5.219,61.735,2280092
Georgia,2018,2.06,73.6,3726549
Germany,2018,1.57,80.89268293,82905782
Ghana,2018,3.87,63.78,29767108
Greece,2018,1.35,81.78780488,10732882
Grenada,2018,2.063,72.384,111449
Guam,2018,2.313,79.859,165770
Guatemala,2018,2.87,74.063,16346950
Guinea,2018,4.7,61.185,12414292
Guinea-Bissau,2018,4.476,58.003,1874304
Guyana,2018,2.462,69.774,779007
Haiti,2018,2.935,63.66,11123183
Honduras,2018,2.46,75.088,9587523
"Hong Kong SAR, China",2018,1.072,84.93414634,7452600
Hungary,2018,1.55,76.06585366,9775564
Iceland,2018,1.71,82.86097561,352721
India,2018,2.222,69.416,1352642283
Indonesia,2018,2.311,71.509,267670549
"Iran, Islamic Rep.",2018,2.137,76.479,81800204
Iraq,2018,3.672,70.454,38433604
Ireland,2018,1.75,82.25609756,4867316
Israel,2018,3.09,82.80243902,8882800
Italy,2018,1.29,83.34634146,60421760
Jamaica,2018,1.979,74.368,2934853
Japan,2018,1.42,84.21097561,126811000
Jordan,2018,2.761,74.405,9965322
Kazakhstan,2018,2.84,73.15,18276452
Kenya,2018,3.492,66.342,51392570
Kiribati,2018,3.569,68.116,115842
"Korea, Dem. People’s Rep.",2018,1.904,72.095,25549606
"Korea, Rep.",2018,0.977,82.62682927,51585058
Kosovo,2018,2,72.19512195,1797085
Kuwait,2018,2.082,75.398,4137314
Kyrgyz Republic,2018,3.3,71.4,6322800
Lao PDR,2018,2.667,67.61,7061498
Latvia,2018,1.6,74.78292683,1927174
Lebanon,2018,2.087,78.875,6859408
Lesotho,2018,3.141,53.705,2108327
Liberia,2018,4.315,63.73,4818976
Libya,2018,2.24,72.724,6678565
Lithuania,2018,1.63,75.6804878,2801543
Luxembourg,2018,1.38,82.29512195,607950
"Macao SAR, China",2018,1.217,84.118,631633
Madagascar,2018,4.077,66.681,26262313
Malawi,2018,4.209,63.798,18143215
Malaysia,2018,2.001,75.997,31528033
Maldives,2018,1.87,78.627,515704
Mali,2018,5.877,58.893,19077755
Malta,2018,1.23,82.44878049,484630
Mauritania,2018,4.561,64.704,58412
Mauritius,2018,1.41,74.41634146,1265303
Mexico,2018,2.129,74.992,126190782
"Micronesia, Fed. Sts.",2018,3.053,67.755,112640
Moldova,2018,1.262,71.808,2708214
Mongolia,2018,2.895,69.689,3170214
Montenegro,2018,1.745,76.77,622227
Morocco,2018,2.415,76.453,36029089
Mozambique,2018,4.852,60.163,29496009
Myanmar,2018,2.154,66.867,53708318
Namibia,2018,3.396,63.373,2448300
Nepal,2018,1.917,70.478,28095712
Netherlands,2018,1.59,81.81219512,17231624
New Caledonia,2018,1.97,77.14878049,270650
New Zealand,2018,1.71,81.85853659,4900600
Nicaragua,2018,2.404,74.275,6465502
Niger,2018,6.913,62.024,22442831
Nigeria,2018,5.387,54.332,195874685
North Macedonia,2018,1.496,75.688,2076217
Norway,2018,1.56,82.75853659,5311916
Oman,2018,2.888,77.633,4829476
Pakistan,2018,3.51,67.114,212228288
Panama,2018,2.461,78.329,4176868
Papua New Guinea,2018,3.564,64.263,8606324
Paraguay,2018,2.429,74.131,6956069
Peru,2018,2.254,76.516,31989265
Philippines,2018,2.576,71.095,106651394
Poland,2018,1.46,77.60243902,37974750
Portugal,2018,1.42,81.32439024,10283822
Puerto Rico,2018,1.035,79.77819512,3193354
Qatar,2018,1.866,80.1,2781682
Romania,2018,1.76,75.35853659,19473970
Russian Federation,2018,1.57,72.65731707,144477859
Rwanda,2018,4.044,68.7,12301969
Samoa,2018,3.877,73.187,196128
Sao Tome and Principe,2018,4.321,70.17,211032
Saudi Arabia,2018,2.319,74.998,33702757
Senegal,2018,4.625,67.665,15854324
Sierra Leone,2018,4.263,54.309,7650149
Singapore,2018,1.14,83.14634146,5638676
Slovak Republic,2018,1.54,77.26585366,5446771
Slovenia,2018,1.6,81.37804878,2073894
Solomon Islands,2018,4.403,72.835,652856
Somalia,2018,6.072,57.068,15008225
South Africa,2018,2.405,63.857,57792520
South Sudan,2018,4.696,57.604,10975924
Spain,2018,1.26,83.43170732,46797754
Sri Lanka,2018,2.199,76.812,21670000
St. Lucia,2018,1.436,76.057,181890
St. Martin (French part),2018,1.81,79.87073171,37264
St. Vincent and the Grenadines,2018,1.891,72.415,110210
Sudan,2018,4.407,65.095,41801532
Suriname,2018,2.418,71.57,575987
Sweden,2018,1.76,82.55853659,10175214
Switzerland,2018,1.52,83.75365854,8514329
Syrian Arab Republic,2018,2.808,71.779,16945062
Tajikistan,2018,3.585,70.879,9100847
Tanzania,2018,4.892,65.015,56313444
Thailand,2018,1.525,76.931,69428454
Timor-Leste,2018,4.023,69.26,1267975
Togo,2018,4.32,60.76,7889095
Tonga,2018,3.556,70.801,103199
Trinidad and Tobago,2018,1.725,73.38,1389841
Tunisia,2018,2.197,76.505,11565203
Turkey,2018,2.069,77.437,82340090
Turkmenistan,2018,2.786,68.073,5850902
Uganda,2018,4.955,62.973,42729032
Ukraine,2018,1.301,71.58268293,44622518
United Arab Emirates,2018,1.413,77.814,9630966
United Kingdom,2018,1.68,81.25609756,66460344
United States,2018,1.7295,78.53902439,326838199
Uruguay,2018,1.973,77.77,3449290
Uzbekistan,2018,2.419,71.573,32956100
Vanuatu,2018,3.782,70.323,292675
"Venezuela, RB",2018,2.272,72.128,28887117
Vietnam,2018,2.049,75.317,95545959
Virgin Islands (U.S.),2018,2.06,79.56829268,107001
West Bank and Gaza,2018,3.643,73.895,4569087
"Yemen, Rep.",2018,3.792,66.096,28498683
Zambia,2018,4.633,63.51,17351714
Zimbabwe,2018,3.615,61.195,14438812