state,Biden_votes,Biden_percent,Biden_ev,Trump_votes,Trump_percent,Trump_ev
Alabama,849624,36.57,0,1441170,62.03,9
Alaska,153778,42.77,0,189951,52.83,3
Arizona,1672143,49.36,11,1661686,49.06,0
Arkansas,423932,34.78,0,760647,62.4,6
California,11110250,63.48,55,6006429,34.32,0
Colorado,1804352,55.4,9,1364607,41.9,0
Connecticut,1080680,59.24,7,715291,39.21,0
Delaware,296268,58.74,3,200603,39.77,0
District of Columbia,317323,92.15,3,18586,5.4,0
Florida,5297045,47.86,0,5668731,51.22,29
Georgia,2473633,49.47,16,2461854,49.24,0
Hawaii,366130,63.73,4,196864,34.27,0
Idaho,287021,33.07,0,554119,63.84,4
Illinois,3471915,57.54,20,2446891,40.55,0
Indiana,1242416,40.96,0,1729519,57.02,11
Iowa,759061,44.89,0,897672,53.09,6
Kansas,570323,41.56,0,771406,56.21,6
Kentucky,772474,36.15,0,1326646,62.09,8
Louisiana,856034,39.85,0,1255776,58.46,8
Maine,435072,53.09,2,360737,44.02,0
Maryland,1985023,65.36,10,976414,32.15,0
Massachusetts,2382202,65.6,11,1167202,32.14,0
Michigan,2804040,50.62,16,2649852,47.84,0
Minnesota,1717077,52.4,10,1484065,45.28,0
Mississippi,539398,41.06,0,756764,57.6,6
Missouri,1253014,41.41,0,1718736,56.8,10
Montana,244786,40.55,0,343602,56.92,3
Nebraska,374583,39.17,0,556846,58.22,2
Nevada,703486,50.06,6,669890,47.67,0
New Hampshire,424921,52.71,4,365654,45.36,0
New Jersey,2608335,57.33,14,1883274,41.4,0
New Mexico,501614,54.29,5,401894,43.5,0
New York,5230985,60.86,29,3244798,37.75,0
North Carolina,2684292,48.59,0,2758775,49.93,15
North Dakota,114902,31.76,0,235595,65.11,3
Ohio,2679165,45.24,0,3154834,53.27,18
Oklahoma,503890,32.29,0,1020280,65.37,7
Oregon,1340383,56.45,7,958448,40.37,0
Pennsylvania,3458229,50.01,20,3377674,48.84,0
Rhode Island,307486,59.39,4,199922,38.61,0
South Carolina,1091541,43.43,0,1385103,55.11,9
South Dakota,150471,35.61,0,261043,61.77,3
Tennessee,1143711,37.45,0,1852475,60.66,11
Texas,5259126,46.48,0,5890347,52.06,38
Utah,560282,37.65,0,865140,58.13,6
Vermont,242820,66.09,3,112704,30.67,0
Virginia,2413568,54.11,13,1962430,44,0
Washington,2369612,57.97,12,1584651,38.77,0
West Virginia,235984,29.69,0,545382,68.62,5
Wisconsin,1630866,49.45,10,1610184,48.82,0
Wyoming,73491,26.55,0,193559,69.94,3